Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03/01/2000,SESAGOA,EQ,107.7,111,116.35,108,116.35,116.35,114.8,20371,2.34E+11,,,
04/01/2000,SESAGOA,EQ,116.35,113.75,116,108,116,114.7,113.34,22366,2.53E+11,,,
05/01/2000,SESAGOA,EQ,114.7,107.55,115.85,107.55,114.5,114,112.78,18305,2.06E+11,,,
06/01/2000,SESAGOA,EQ,114,112,123.1,112,118.8,119.3,119.89,25800,3.09E+11,,,
07/01/2000,SESAGOA,EQ,119.3,119.85,120,114.05,116.5,116.5,116.84,17361,2.03E+11,,,
10/01/2000,SESAGOA,EQ,116.5,120.5,120.85,116,119,119,118.69,20707,2.46E+11,,,
11/01/2000,SESAGOA,EQ,119,118,118.2,113.35,113.35,114.55,116.3,20648,2.40E+11,,,
12/01/2000,SESAGOA,EQ,114.55,115.5,117.4,114.65,115.65,115.45,115.73,4995,57804725000,,,
13/01/2000,SESAGOA,EQ,115.45,112.25,115.9,112.1,115,115.1,114.9,15911,1.83E+11,,,
14/01/2000,SESAGOA,EQ,115.1,113.55,114,111.35,114,113.9,112.94,3722,42034650000,,,
17/01/2000,SESAGOA,EQ,113.9,114.05,117.5,114.05,115.5,115.55,116.01,7855,91122155000,,,
18/01/2000,SESAGOA,EQ,115.55,111.55,115.25,111.55,114.75,114.05,114.16,12095,1.38E+11,,,
19/01/2000,SESAGOA,EQ,114.05,119,119,115,117,117.4,117.22,3875,45421865000,,,
20/01/2000,SESAGOA,EQ,117.4,114,117,114,115.8,116.4,116.21,5656,65726415000,,,
21/01/2000,SESAGOA,EQ,116.4,115.45,116.25,112.5,114,114.2,114.5,6295,72074800000,,,
24/01/2000,SESAGOA,EQ,114.2,110.1,114.95,110.1,112,112,112.53,4139,46575320000,,,
25/01/2000,SESAGOA,EQ,112,110.1,110.45,107.15,107.15,107.55,108.73,7899,85887885000,,,
27/01/2000,SESAGOA,EQ,107.55,100,111,100,108.05,108.2,108.26,3404,36850225000,,,
28/01/2000,SESAGOA,EQ,108.2,110,110,105,106.5,105.75,105.97,12442,1.32E+11,,,
31/01/2000,SESAGOA,EQ,105.75,106,106,97.3,97.3,97.3,99.37,10492,1.04E+11,,,
01/02/2000,SESAGOA,EQ,97.3,91,99.25,91,98,97.85,95.55,9127,87208450000,,,
02/02/2000,SESAGOA,EQ,97.85,99.9,102.9,97.05,100,100.25,99.52,7271,72363235000,,,
03/02/2000,SESAGOA,EQ,100.25,104.9,105,100,100.5,100.95,101.7,5819,59181350000,,,
04/02/2000,SESAGOA,EQ,100.95,99.5,101.85,97.25,97.25,97.3,98.6,7791,76821230000,,,
07/02/2000,SESAGOA,EQ,97.3,95.05,96.65,94.15,95,95,95.16,7085,67421470000,,,
08/02/2000,SESAGOA,EQ,95,94.5,95,91.1,92,92.5,93.14,10152,94553595000,,,
09/02/2000,SESAGOA,EQ,92.5,93.1,95.95,91.05,91.05,91.05,93.75,6094,57130450000,,,
10/02/2000,SESAGOA,EQ,91.05,89.1,91,88.25,89.8,89.8,89.63,8363,74961205000,,,
11/02/2000,SESAGOA,EQ,89.8,90,90,87.05,87.05,87.9,88.2,5047,44516470000,,,
14/02/2000,SESAGOA,EQ,87.9,89,89,82.75,84,83.8,83.67,6747,56449205000,,,
15/02/2000,SESAGOA,EQ,83.8,82.3,86,81.35,84.95,84.15,83.73,9736,81520310000,,,
16/02/2000,SESAGOA,EQ,84.15,86,89,85.35,86.75,86.75,87.5,10700,93622600000,,,
17/02/2000,SESAGOA,EQ,86.75,88,88,82,84.75,84,84.39,10395,87724860000,,,
18/02/2000,SESAGOA,EQ,84,82.5,83.5,79,80,80.1,80.61,11263,90791485000,,,
21/02/2000,SESAGOA,EQ,80.1,80,81,77.15,78,78.15,78.91,7133,56286005000,,,
22/02/2000,SESAGOA,EQ,78.15,77,78.8,72.25,72.25,73.2,74.96,17682,1.33E+11,,,
23/02/2000,SESAGOA,EQ,73.2,77.85,77.85,74,75,74.6,74.83,11174,83613900000,,,
24/02/2000,SESAGOA,EQ,74.6,72.1,77.95,72.1,74,74.55,75.69,6585,49840570000,,,
25/02/2000,SESAGOA,EQ,74.55,74,74.7,69,69,69.9,71.09,10720,76205690000,,,
28/02/2000,SESAGOA,EQ,69.9,67.25,73,67.05,73,72.45,71.74,4049,29048310000,,,
29/02/2000,SESAGOA,EQ,72.45,74.25,74.9,68.25,68.25,70.35,72.75,14175,1.03E+11,,,
01/03/2000,SESAGOA,EQ,70.35,72.8,73.7,72,72,73.1,72.92,7155,52173840000,,,
02/03/2000,SESAGOA,EQ,73.1,70.25,70.25,67.6,68,68,68.87,10520,72452890000,,,
03/03/2000,SESAGOA,EQ,68,66.1,67.9,64.15,66.75,64.6,65.96,10162,67027475000,,,
06/03/2000,SESAGOA,EQ,64.6,68.9,69,64.5,65.1,65.1,66.44,14201,94350930000,,,
07/03/2000,SESAGOA,EQ,65.1,66,66,60.05,61,61.7,62.97,10021,63106925000,,,
08/03/2000,SESAGOA,EQ,61.7,64,64,60,61.05,61.25,62.08,12010,74564035000,,,
09/03/2000,SESAGOA,EQ,61.25,63.5,63.5,60,62,62.3,61.42,6910,42439225000,,,
10/03/2000,SESAGOA,EQ,62.3,62.6,62.6,58.3,60.8,60.2,59.54,120745,7.19E+11,,,
13/03/2000,SESAGOA,EQ,60.2,57,60.1,57,59,58.4,59.15,8050,47619550000,,,
14/03/2000,SESAGOA,EQ,58.4,63,63.1,58.65,63.1,62.8,61,11995,73168255000,,,
15/03/2000,SESAGOA,EQ,62.8,64.5,67.85,64.5,67.85,67.85,66.87,3297,22048395000,,,
16/03/2000,SESAGOA,EQ,67.85,70,73,65.2,68.5,68.2,68.38,15159,1.04E+11,,,
21/03/2000,SESAGOA,EQ,68.2,68,70,64.6,69,66.5,65.9,5871,38687535000,,,
22/03/2000,SESAGOA,EQ,66.5,66.85,66.85,63.55,64,63.95,65.1,6648,43275705000,,,
23/03/2000,SESAGOA,EQ,63.95,63.5,63.5,60.5,60.95,60.95,62.17,5097,31688715000,,,
24/03/2000,SESAGOA,EQ,60.95,60.9,62,56.1,62,61.25,57.78,17084,98712950000,,,
27/03/2000,SESAGOA,EQ,61.25,61.45,63.9,60.3,62.25,62.95,61.69,6381,39363900000,,,
28/03/2000,SESAGOA,EQ,62.95,61.85,61.85,59.5,60.3,61.05,60.61,13006,78826995000,,,
29/03/2000,SESAGOA,EQ,61.05,64,64.4,60.8,61.4,61.15,61.88,5232,32378215000,,,
30/03/2000,SESAGOA,EQ,61.15,62.6,65.45,62,64.9,64.3,63.84,6719,42895615000,,,
31/03/2000,SESAGOA,EQ,64.3,64.9,66,62.55,65.3,64.5,63.98,10110,64682260000,,,
03/04/2000,SESAGOA,EQ,64.5,69.5,69.5,65.75,66.65,66.75,67.22,8460,56871510000,,,
04/04/2000,SESAGOA,EQ,66.75,63,65,61.45,61.45,61.45,62.34,15150,94444025000,,,
05/04/2000,SESAGOA,EQ,61.45,57,64.95,57,63,63.4,63.88,8049,51418355000,,,
06/04/2000,SESAGOA,EQ,63.4,64,64.35,59,63.45,62.45,61.07,11985,73189335000,,,
07/04/2000,SESAGOA,EQ,62.45,63.5,63.5,60.5,61,60.95,61.74,20942,1.29E+11,,,
10/04/2000,SESAGOA,EQ,60.95,64,65.85,62.95,65.4,65.25,65.18,36618,2.39E+11,,,
11/04/2000,SESAGOA,EQ,65.25,68,68,62.85,64.5,63.25,63.61,27571,1.75E+11,,,
12/04/2000,SESAGOA,EQ,63.25,65.05,66.7,64.1,64.9,64.75,65.47,52071,3.41E+11,,,
13/04/2000,SESAGOA,EQ,64.75,64,64,62.25,63.05,62.95,63.01,16470,1.04E+11,,,
17/04/2000,SESAGOA,EQ,62.95,58.15,63.95,58.15,63.45,63.4,62.58,7493,46888180000,,,
18/04/2000,SESAGOA,EQ,63.4,63,63.95,62.1,63.5,63.1,63.22,5935,37520155000,,,
19/04/2000,SESAGOA,EQ,63.1,64.25,64.25,60.05,61.65,61.3,62.5,11007,68789485000,,,
20/04/2000,SESAGOA,EQ,61.3,62,62,57.65,58.65,59.05,58.74,9321,54755305000,,,
24/04/2000,SESAGOA,EQ,59.05,59.5,59.5,56.2,59.4,58.7,57.62,5632,32452330000,,,
25/04/2000,SESAGOA,EQ,58.7,57.25,57.5,55.05,57,55.9,55.91,6020,33656305000,,,
26/04/2000,SESAGOA,EQ,55.9,58.65,60,57.05,60,59.35,58.71,5782,33945270000,,,
27/04/2000,SESAGOA,EQ,59.35,59,59.9,56.65,57.9,57.9,57.89,4260,24662875000,,,
28/04/2000,SESAGOA,EQ,57.9,55.5,57,55.5,56.2,56.15,56.19,10321,57996305000,,,
02/05/2000,SESAGOA,EQ,56.15,55.5,55.5,52,54,52.55,52.98,27851,1.48E+11,,,
03/05/2000,SESAGOA,EQ,52.55,48.8,54.95,48.8,53.25,53.25,53.09,3325,17653875000,,,
04/05/2000,SESAGOA,EQ,53.25,57.5,57.5,52.5,53.75,53.8,54.38,4653,25300700000,,,
05/05/2000,SESAGOA,EQ,53.8,55.5,55.9,53.55,54.25,53.7,54.04,7289,39387660000,,,
08/05/2000,SESAGOA,EQ,53.7,55,55,53.1,54.65,54.05,53.97,2340,12628725000,,,
09/05/2000,SESAGOA,EQ,54.05,52.55,54,52.55,53,53.2,53.53,6695,35835770000,,,
10/05/2000,SESAGOA,EQ,53.2,53,54.3,52.25,54.25,53.7,53.46,2896,15482970000,,,
11/05/2000,SESAGOA,EQ,53.7,52.1,54,52.1,53.2,52.75,53.02,3665,19432800000,,,
12/05/2000,SESAGOA,EQ,52.75,52.05,53.8,50.1,50.15,50.8,51.52,5348,27550885000,,,
15/05/2000,SESAGOA,EQ,50.8,50.5,52,50.1,52,51.8,50.98,3092,15761700000,,,
16/05/2000,SESAGOA,EQ,51.8,50.05,52.6,50,50.1,50.15,50.69,5353,27136155000,,,
17/05/2000,SESAGOA,EQ,50.15,51,52.45,51,52,52,51.7,4053,20954090000,,,
18/05/2000,SESAGOA,EQ,52,52.6,52.6,48.7,48.7,49.2,51.06,6695,34185925000,,,
19/05/2000,SESAGOA,EQ,49.2,49,49,45.5,46,46.45,47.28,7984,37746000000,,,
22/05/2000,SESAGOA,EQ,46.45,45,47.3,43,46.7,46.65,45.49,6130,27883200000,,,
23/05/2000,SESAGOA,EQ,46.65,47.8,48,46.5,46.9,46.7,47.13,4602,21688255000,,,
24/05/2000,SESAGOA,EQ,46.7,47,49,47,48.05,48.3,48.3,7880,38058870000,,,
25/05/2000,SESAGOA,EQ,48.3,48.75,50.95,47.35,49.95,49.65,49.64,6419,31864765000,,,
26/05/2000,SESAGOA,EQ,49.65,52.15,52.15,49.55,50.95,50.85,50.48,4126,20828545000,,,
29/05/2000,SESAGOA,EQ,50.85,51.5,54.5,51.5,53.95,53.95,53.03,8096,42935750000,,,
30/05/2000,SESAGOA,EQ,53.95,53,54.6,52.8,54.6,53.95,53.77,9013,48465905000,,,
31/05/2000,SESAGOA,EQ,53.95,57,58,53,53.5,54.15,55.39,8986,49775295000,,,
01/06/2000,SESAGOA,EQ,54.15,53.05,55,53.05,55,54.65,54.33,3405,18500570000,,,
02/06/2000,SESAGOA,EQ,54.65,52.6,54,51,54,53.95,52.81,5719,30202440000,,,
05/06/2000,SESAGOA,EQ,53.95,54.5,58.25,54.5,57.9,56.95,56.95,8818,50220270000,,,
06/06/2000,SESAGOA,EQ,56.95,58,59.35,55.35,59.25,58.75,57.79,6345,36665600000,,,
